City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Namanga,KE,2022-08-01 22:50:55,-2.5433,36.7905,62.98,72,92,3.74
163,Dayong,CN,2022-08-01 22:49:05,25.0209,118.2898,81.32,83,96,0.69
164,Port Lincoln,AU,2022-08-01 22:50:55,-34.7333,135.8667,55.98,46,100,24.36
165,Ulkan,RU,2022-08-01 22:50:56,57.243,107.3223,64.36,93,27,1.97
166,Kavieng,PG,2022-08-01 22:50:56,-2.5744,150.7967,81.23,81,100,15.37
167,Guerrero Negro,MX,2022-08-01 22:49:12,27.9769,-114.0611,83.44,46,0,16.33
168,Mount Gambier,AU,2022-08-01 22:47:45,-37.8333,140.7667,46.2,79,96,10.2
169,Itarema,BR,2022-08-01 22:47:52,-2.9248,-39.9167,78.8,79,30,17.2
170,Luderitz,NA,2022-08-01 22:50:56,-26.6481,15.1594,53.38,78,12,3.58
171,Vaini,TO,2022-08-01 22:47:44,-21.2,-175.2,80.76,94,20,6.91
172,Mahajanga,MG,2022-08-01 22:50:57,-15.7167,46.3167,68.02,83,0,3.44
173,Saskylakh,RU,2022-08-01 22:47:02,71.9167,114.0833,41.54,72,100,12.26
174,Tuktoyaktuk,CA,2022-08-01 22:50:57,69.4541,-133.0374,53.6,87,75,13.8
175,Daru,PG,2022-08-01 22:46:28,-9.0763,143.2092,79.68,86,22,12.95
176,Ndele,CF,2022-08-01 22:50:57,8.4109,20.6473,68.81,97,100,2.51
177,Maltahohe,NA,2022-08-01 22:50:58,-24.8333,16.9833,43.52,84,59,7.81
178,Juneau,US,2022-08-01 22:51:58,58.3019,-134.4197,61.84,93,100,5.75
179,Salta,AR,2022-08-01 22:50:30,-24.7859,-65.4117,66.79,57,0,8.05
180,Lavrentiya,RU,2022-08-01 22:51:58,65.5833,-171.0,52.29,69,77,5.41
181,Iqaluit,CA,2022-08-01 22:51:58,63.7506,-68.5145,55.13,71,75,5.75
182,Bonavista,CA,2022-08-01 22:51:59,48.6499,-53.1147,62.67,85,100,9.66
183,Salalah,OM,2022-08-01 22:51:59,17.0151,54.0924,75.88,94,100,6.98
184,Norman Wells,CA,2022-08-01 22:51:59,65.282,-126.8329,73.44,38,20,8.05
185,Coahuayana,MX,2022-08-01 22:52:00,18.7333,-103.6833,87.21,69,68,5.44
